ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,適正CPI_EC,適正CPI_CL
地力S+,地力S+,16,卑弥呼,82-185(185),2119,階段・二重階段・軸押し・連続縦連・トリル・ソフラン,PEAK,1771.65,1884.84
地力S+,地力S+,31,惑星鉄道,10-166(157),1633,ソフラン・CN・BSS・疑似停止,SOF-LAN,1904.46,1971.68
個人差S+,個人差S+,19,DIAVOLO,160,1745,高速トリル・坂譜面・ラス殺し,PEAK,1751.32,1809.26
個人差S+,個人差S+,20,Plan 8,212,1690,高速連皿・ラス殺し,SCRATCH,1780.30,1818.77
個人差S+,個人差S+,29,RAGE feat.H14 of LEONAIR,166,1886,MSS・連皿,SCRATCH,1729.11,1859.33
個人差S+,個人差S+,24,SAMURAI-Scramble(L),150,1576,連皿,SCRATCH,1885.24,2020.22
個人差S+,個人差S+,23,灼熱 Pt.2 Long Train Running,165,1804,連皿,SCRATCH,1823.46,1941.00
個人差S+,個人差S+,18,灼熱Beach Side Bunny,153,1719,連皿・トリル,SCRATCH,1716.81,1846.43
地力S,地力S,29,Binary Black Hole,190,2000,CN,PEAK,1692.20,1739.23
地力S,地力S,26,Carmina,195,2000,階段・縦連打・CN・発狂・ラス殺し,CHARGE,1730.56,1787.49
地力S,地力S+,22,Chrono Diver -PENDULUMs-,196,2222,物量・デニム・トリル・二重階段,NOTES,1723.65,1785.47
地力S,地力S,20,Confiserie,185,1833,二重階段・終盤発狂・ラス殺し,PEAK,1694.05,1752.93
地力S,地力S,18,Dances with Snow Fairies(L),154,2135,CN・物量・微縦連,PEAK,1703.15,1786.98
地力S,地力S,20,Elemental Creation,212,2130,同時押し・二重乱打・軸・高速皿・縦連,CHORD,1725.45,1776.39
地力S,地力S,25,EMERALDAS,88-176(176),1833,HCN・HBSS・トリル・ソフラン・連皿・終盤難,PEAK,1695.33,1771.44
地力S,地力S,27,Everlasting Message,230,1970,CN,CHARGE,1690.46,1763.90
地力S,地力S+,24,Go Ahead!!,200,1413,中盤発狂・終盤易化,PEAK,1740.88,1834.29
地力S,地力S,26,GO OVER WITH GLARE -ROOTAGE 26-,170,2000,皿絡み・発狂・ラス殺し,CHORD,1728.44,1742.07
地力S,地力S,29,hard-wired,208,1901,HCN・終盤難,PEAK,1736.78,1796.35
地力S,地力S+,15,ICARUS(L),126-251(176),2000,ソフラン・中盤難・乱打・トリル,SOF-LAN,1789.67,1917.09
地力S,地力S+,21,KAISER PHOENIX(L),170,2026,高密度・二重階段・縦連打,NOTES,1753.59,1805.78
地力S,地力S,27,Lost Souls(L),185,2000,物量・トリル,NOTES,1782.03,1822.99
地力S,地力S,28,MEGAERA,206,1790,CN,PEAK,1698.49,1757.18
地力S,地力S,27,Override(L),175,2204,物量・皿複合,CHORD,1689.01,1725.86
地力S,地力S,18,perditus†paradisus,172,2065,CN・階段・ラス殺し,NOTES,1723.84,1762.84
地力S,地力S,19,Phoenix(L),176,2027,BSS・高密度,NOTES,1770.25,1810.59
地力S,地力S,21,Sigmund,200,2029,CN・階段・連皿・ラス殺し,NOTES,1674.41,1714.74
地力S,地力S+,28,Sinus Iridum,128-256(128),1803,CN・ソフラン,CHARGE,1781.06,1892.81
地力S,地力S,14,TRANOID(L),130-190(130),1546,CN・ソフラン,NOTES,1745.06,1795.35
地力S,地力S,30,Xerulean,182,1802,HBSS・連皿・デニム・ラス殺し,PEAK,1723.38,1774.81
地力S,地力S,30,栄冠のカンパネラ,185,2000,CN・高密度,CHARGE,1689.00,1764.98
地力S,地力S,23,駅猫のワルツ,282,1558,高速階段・ラス殺し,NOTES,1664.38,1739.08
地力S,地力S,24,焔極OVERKILL,192,1901,連皿,NOTES,1675.25,1729.80
地力S,地力S,20,お米の美味しい炊き方、そしてお米を食べることによるその効果。(L),190,1907,トリル,NOTES,1700.91,1757.20
地力S,地力S+,26,X-DEN,200,2220,中盤発狂・トリル・デニム・連皿・HARD地雷,PEAK,1815.12,1924.37
地力S,地力S,22,共鳴遊戯の華,190,2000,CN,CHARGE,1633.30,1689.33
地力S,地力A+,22,千年ノ理(L),153,2183,CN,CHORD,1672.60,1702.72
地力S,地力S,21,IX,198,2007,階段・二重階段・CN・BSS・連皿・ラス殺し,NOTES,1699.25,1746.65
地力S,地力S,13,嘆きの樹,160,2000,繰り返し乱打・同時押し・デニム発狂・螺旋階段発狂・後半難,PEAK,1655.63,1709.61
地力S,地力S,22,表裏一体！？怪盗いいんちょの悩み(L),165,2334,連皿複合・物量,CHORD,1684.85,1747.74
個人差S,地力S,24,BroGamer(L),207,2383,皿複合・同時押し・物量,CHORD,1641.35,1716.35
個人差S,地力S+,27,EROICA,200,2040,HCN・極短CN,PEAK,1688.73,1815.34
個人差S,個人差S+,31,Level 5,185,1937,連皿・CN・BSS・トリル,SCRATCH,1797.85,1898.72
個人差S,個人差S,27,Lords Of The Roundtable,174,1586,HCN・BSS・連皿,SCRATCH,1603.30,1711.34
個人差S,個人差S,15,Time to Air(L),191,1888,同時押し・連皿・ラス殺し,CHORD,1781.88,1825.54
個人差S,個人差S+,20,Timepiece phase II (CN Ver.),287,1546,CN・縦連,CHARGE,1664.46,1736.55
個人差S,個人差S,29,WHA,108,1946,HBSS・HCN・連皿,SCRATCH,1642.89,1755.94
個人差S,地力S+,28,ディスコルディア,180-280(280),2073,CN・縦連打,CHARGE,1663.27,1772.03
地力A+,地力S,17,Almagest,178,1629,CN・BSS・階段,CHARGE,1577.26,1654.79
地力A+,地力S,31,Ambivalent Vermilia,185,2132,軸・皿複合,NOTES,1689.49,1747.11
地力A+,地力A+,21,Ancient Scapes(L),178,2198,二重トリル・階段・ラス殺し,NOTES,1611.11,1668.19
地力A+,地力A+,15,"Anisakis -somatic mutation type""Forza""-(L)",185,1971,物量・トリル・同時,CHORD,1639.22,1695.87
地力A+,地力A+,16,B4U(BEMANI FOR YOU MIX)(L),170,2360,物量・同時・皿複合,CHORD,1616.70,1674.08
地力A+,地力S,30,Bad Encryption,200,1633,CN・BSS・皿複合・連皿・軸押し,PEAK,1660.49,1735.44
地力A+,地力A+,23,Blue Spring Express,172,1728,局所難・ラス殺し,PEAK,1625.63,1672.58
地力A+,地力A+,31,CADENZA,160,2357,物量・連皿,NOTES,1607.63,1663.36
地力A+,地力A+,22,CHRONO DIVER -NORNIR-(L),185,2233,物量,CHORD,1634.01,1682.47
地力A+,個人差A+,26,CODE:0(L),125,1829,連皿・連打,PEAK,1632.66,1694.18
地力A+,地力A+,13,CONTRACT(L),180,1418,階段・ラス殺し,PEAK,1664.22,1699.06
地力A+,地力S,27,Dans la nuit de l'eternite,244,1830,高速二重階段,PEAK,1630.71,1732.03
地力A+,地力S,22,EBONY & IVORY(L),113-170(170),1887,ソフラン・トリル,NOTES,1661.21,1730.19
地力A+,個人差A+,31,Glitch N Ride,30-300(150),1389,CN・BSS・ソフラン,SOF-LAN,1628.29,1697.78
地力A+,地力S,28,Ignis†Irae,188-191(191),1970,CN,CHARGE,1661.68,1735.61
地力A+,地力A+,25,Initiation,160,2018,HCN・HBSS・乱打・縦連,CHORD,1585.58,1655.90
地力A+,地力A+,27,LIGHTNING STRIKES(L),174,2123,CN・BSS・物量,NOTES,,
地力A+,地力A+,30,LOUDER ROLLING THUNDER,180,1767,HCN・HBSS,NOTES,1610.78,1686.06
地力A+,個人差S,23,NZM,190,1783,HCN・階段,CHARGE,1575.41,1649.71
地力A+,地力A+,18,PARADISE LOST,200,1718,CN・乱打・皿・ラス殺し,CHARGE,1605.96,1662.30
地力A+,地力A+,24,Quakes,190,1654,HCN・ラス殺し,PEAK,1588.68,1634.46
地力A+,個人差S,25,REVOLVER(L),160,1731,CN,CHARGE,1623.10,1696.31
地力A+,地力A+,32,Satellite Burst,177,2000,CN・階段・二重トリル・デニム,NOTES,,
地力A+,地力S,20,Saturn(L),155,1783,縦連・ラス殺し,PEAK,1675.23,1730.21
地力A+,地力A+,27,Smashing Wedge,215,1957,BSS・ゴミ付二重トリル・後半難,NOTES,1641.27,1698.29
地力A+,個人差S,31,SOLAR ECLIPSE,195,1893,HCN・連皿,NOTES,1561.43,1671.73
地力A+,地力A+,29,SOLID WYVERN(L),165,1999,終盤難・皿絡み・BSS,NOTES,1641.65,1664.75
地力A+,地力A+,30,The Clown of 24stairs,204,1788,二重階段,NOTES,1578.58,1666.41
地力A+,地力A+,27,THE F∀UST,170,1851,ラス殺し,PEAK,1662.07,1687.43
地力A+,地力A,28,Tiempo Loco,180,1884,CN・BSS,NOTES,1625.16,1646.78
地力A+,地力S,14,VANESSA(L),185,1771,二重階段・皿,NOTES,1682.01,1750.08
地力A+,個人差S,30,VØID,80-170(164),1712,CN・BSS・MSS・ソフラン,SOF-LAN,1686.16,1764.70
地力A+,地力A+,26,voltississimo,225,1888,高速・二重配置・同時押し,NOTES,1632.98,1689.94
地力A+,地力A+,31,Vulnerability,167,1885,HCN・HBSS・連皿・終盤難,NOTES,1679.20,1730.63
地力A+,地力A+,30,［ ］DENTITY,200,2000,BSS・局所難,NOTES,1634.14,1670.69
地力A+,地力A+,27,がっつり陰キャ!? 怪盗いいんちょの億劫^^;,185,2192,皿絡み・物量,NOTES,1619.36,1677.72
地力A+,地力A+,19,恋する☆宇宙戦争っ！！(L),200,2355,CN・物量,NOTES,1609.46,1680.89
地力A+,地力A+,25,シムルグの目醒め,190,1822,皿複合・高速トリル,PEAK,1599.63,1669.51
地力A+,地力A+,28,∀,180,1802,ラス殺し,PEAK,1644.98,1673.61
地力A+,地力A+,22,超青少年ノ為ノ超多幸ナ超古典的超舞曲(L),150,2110,高密度乱打・高速トリル,NOTES,1628.05,1671.97
地力A+,地力A+,28,-65℃,186,1912,CN,NOTES,1644.85,1684.39
地力A+,地力S,21,煉獄のエルフェリア,183,2000,中盤発狂,PEAK,1633.13,1700.76
個人差A+,個人差S,19,BLACK.by X-Cross Fade,163,1738,高速皿・同時押し・ラス殺し,SCRATCH,1545.56,1640.07
個人差A+,個人差S,24,ECHIDNA,146,1775,HCN,CHARGE,1583.76,1654.27
個人差A+,地力A+,21,invoker(L),195,1851,乱打・軸・連皿・皿複合,NOTES,1599.55,1650.14
個人差A+,個人差S,28,Level 3,175,1844,BSS・連皿,SCRATCH,1611.32,1670.59
個人差A+,個人差S,30,Level 4,180,1883,連皿・皿複合・BSS・CN,SCRATCH,1595.24,1721.28
個人差A+,個人差S,26,Red. by Jack Trance,160,1862,連皿・BSS・皿複合,SCRATCH,1619.89,1726.92
個人差A+,個人差A+,22,Reflux,150,1574,CN・BSS,CHARGE,1550.25,1631.67
個人差A+,個人差A+,27,SCREW // owo // SCREW,114,1567,高速連皿,SCRATCH,1492.74,1598.77
個人差A+,個人差S,25,The Chase,142,1148,連皿・24分連皿・連皿+トリル・BSS,SCRATCH,1521.06,1672.85
個人差A+,個人差S,28,THE PEERLESS UNDER HEAVEN,170,1818,連皿,PEAK,1648.73,1741.36
個人差A+,個人差S+,20,Thor's Hammer,150,1641,皿複合・縦連・二重階段・坂譜面,PEAK,1622.42,1726.16
個人差A+,個人差S,19,TITANS RETURN(L),97-194(194),1377,HCN・ソフラン,CHARGE,1648.01,1740.25
個人差A+,個人差A+,29,TOMAHAWK,215,1830,連皿,SCRATCH,1618.46,1681.71
個人差A+,地力A+,20,Zirkfied,210,1968,乱打・デニム・縦連・ラス殺し・初見殺し,PEAK,1619.23,1659.64
個人差A+,個人差A+,23,真 地獄超特急 -HELL or HELL-,165,1727,HCN・連皿・皿複合,CHARGE,1559.12,1649.80
個人差A+,個人差S,29,"ピアノ独奏無言歌 ""灰燼""",100-200(150),1977,ソフラン,SOF-LAN,1686.14,1777.72
地力A,地力A,29,ABSOLUTE EVIL,200,1778,HCN,CHARGE,1494.53,1568.45
地力A,地力A,29,ALTERNATOR,185,1907,BSS・MSS,CHORD,1546.15,1610.90
地力A,地力A,27,Artist,165,1870,CN・縦連打,NOTES,1550.42,1619.68
地力A,地力A,17,Bad Maniacs,195,1656,軸押し・乱打,PEAK,1537.47,1599.48
地力A,地力A,27,BEAT PRISONER,155,1844,3～5本同時CN・連皿,CHARGE,1530.33,1584.24
地力A,地力A,28,BLACK or WHITE?,185,2013,CN,NOTES,1620.79,1656.20
地力A,地力A,15,Blue Rain(L),144,1702,高密度・終盤難・乱打,PEAK,1592.60,1632.85
地力A,地力A,21,Close the World feat.a☆ru(L),188,1983,高密度・二重階段,NOTES,1564.30,1632.54
地力A,地力A,28,COSMIC RAY,195,1509,CN,NOTES,1620.37,1668.07
地力A,地力A+,25,DEATH†ZIGOQ ～怒りの高速爆走野郎～,200,2075,皿複合・乱打・CN・トリル,NOTES,1597.43,1669.34
地力A,地力A,31,Demon March,174,1875,HCN・HBSS,NOTES,1566.89,1619.15
地力A,地力A,22,Despair of ELFERIA,205,2096,同時押し・二重階段・ラス殺し,CHORD,1567.64,1616.62
地力A,地力A,23,Devil's Gear,180,1793,終盤発狂,PEAK,1577.09,1624.56
地力A,地力A,24,DORNWALD ～Junge～,169,1903,縦連,PEAK,1532.67,1606.73
地力A,個人差A+,23,Dynamite,100,1953,CN・BSS・皿複合,CHORD,1521.47,1597.64
地力A,地力A+,21,Elektrick U-Phoria(L),180,2050,HCN・物量,NOTES,1603.27,1670.45
地力A,地力B+,17,EXUSIA,188,1964,乱打・軸・ラス殺し,NOTES,1555.81,1592.99
地力A,地力S+,21,Feel The Beat(L),175,2225,前半難・乱打・皿複合,PEAK,1552.03,1665.10
地力A,地力A+,15,four pieces of heaven(L),125-195(195),1518,高密度・ソフラン・低速,PEAK,1555.22,1674.98
地力A,地力B+,17,G59,170,2000,デニム・軸押し・高速小階段,CHORD,1552.91,1599.96
地力A,地力A+,13,Ganymede(L),72-82(82),1356,ズレ・階段・終盤難,PEAK,1538.94,1632.16
地力A,地力A+,24,GuNGNiR,222,2081,高速階段・皿複合,NOTES,1582.74,1664.17
地力A,地力B+,24,HADES,155,1601,同時押し・皿複合・ラス殺し,PEAK,1527.89,1588.95
地力A,地力A,19,HAERETICUS,208,1589,乱打・皿複合・全体難,PEAK,1565.04,1616.22
地力A,地力A+,21,KAISER PHOENIX,170,1693,軸・二重階段・トリル・縦連,NOTES,1570.01,1644.39
地力A,地力A,25,"Life Is A Game ft.DD""ナカタ""Metal",195,1775,ラス殺し,PEAK,1583.02,1636.90
地力A,地力A+,28,LOCUS OF THE TRAVEL,182,1920,CN・連皿,CHARGE,1552.92,1665.19
地力A,地力A,15,MENDES,168,1831,前半難・高密度発狂・皿複合,PEAK,1552.51,1613.22
地力A,地力A+,32,NOIXIA,165,2027,CN・MSS・二重階段・二重カプセル配置・X譜面,CHARGE,,
地力A,地力A,26,Painful Fate,192,1702,CN・乱打,CHARGE,1540.15,1597.99
地力A,地力A,17,quell～the seventh slave～,162,1646,局所発狂・皿複合,NOTES,1552.82,1611.00
地力A,地力A+,16,Secrets(L),150,2116,皿複合・ラス殺し,CHORD,1598.36,1660.02
地力A,地力A,17,SOLID STATE SQUAD(L),155,1868,HCN,CHORD,1562.70,1617.78
地力A,地力A,30,suspicions,153,1908,ラス殺し,NOTES,1616.20,1645.56
地力A,地力A,27,THE BRAVE MUST DIE,215,2075,CN・物量,CHORD,1559.11,1616.96
地力A,地力A,26,The Rebellion of Sequencer,300,1634,軸・局所発狂,NOTES,1574.60,1627.17
地力A,地力A,23,Triple Counter,216,2016,CN,CHORD,1526.80,1595.04
地力A,地力A,27,TRIUMPH,183,1724,CN・BSS,CHARGE,1540.37,1597.73
地力A,地力A+,21,Verflucht,180,1805,二重階段・二重トリル,NOTES,1546.34,1611.89
地力A,地力A+,23,Violet Pulse(L),134,2115,高密度・微縦連,NOTES,1553.27,1635.66
地力A,地力A,30,VOLAQUAS,212,1982,CN・BSS,NOTES,1552.10,1627.84
地力A,地力A,13,waxing and wanding(L),191,2000,物量・軸,CHORD,1611.11,1641.51
地力A,地力A,23,ZEPHYRANTHES(L),180,1982,CN・皿絡み,NOTES,1579.76,1640.36
地力A,個人差A+,25,255,255,1676,トリル・軸・皿絡み・ガチ押し,NOTES,1518.77,1617.33
地力A,個人差A+,23,紫陽花 -AZISAI-(L),155,1815,CN・BSS・MSS・二重階段・中盤難,NOTES,1549.06,1677.93
地力A,地力A+,26,お菓子の王国,190,2109,物量・ズレ・中盤発狂・終盤発狂,PEAK,1549.96,1631.89
地力A,地力A,27,俺ら東京さ行ぐだ(L),110-150(150),1874,CN・BSS・連皿・ソフラン,NOTES,1537.27,1623.62
地力A,地力B+,20,仮想空間の旅人たち(L),151,1943,終盤難,CHORD,1573.76,1592.50
地力A,地力A,27,華麗なる大犬円舞曲,60-147(142),1849,ソフラン,NOTES,1589.09,1644.62
地力A,地力A+,19,君のハートにロックオン(L),260,1828,局所難,NOTES,1592.35,1673.81
地力A,地力A,28,閠槞彁の願い,180,1613,HCN,PEAK,1553.35,1621.39
地力A,地力A+,26,金野火織の金色提言,225,1630,高速・軸・皿絡み・ラス殺し,PEAK,1581.04,1656.28
地力A,地力A,28,世界の果てに約束の凱歌を -ReUnion-,200,1983,CN・軸・ラス殺し,CHORD,1563.47,1622.40
地力A,地力A+,19,天空の夜明け,150,2072,高密度乱打・縦連,NOTES,1570.04,1623.83
地力A,地力A,28,伐折羅-vajra-,173,1877,終盤難,NOTES,1595.77,1628.44
地力A,地力A,27,ピアノ協奏曲第1番”蠍火” (BlackY Remix),160,1926,CN・ラス殺し,PEAK,1614.52,1649.81
地力A,地力A+,28,二人ノ廃城幽踊宴,280-316(290),1927,ソフラン・階段・トリル,NOTES,1562.45,1642.44
地力A,個人差A,29,烽火連天の刃,190,1771,CN,CHARGE,1518.27,1607.24
地力A,地力S+,12,冥,66-200(200),2000,階段・ソフラン・中盤加速発狂,SOF-LAN,1581.96,1667.03
個人差A,個人差B+,17,AIR RAID FROM THA UNDAGROUND(L),180,1523,トリル,PEAK,1602.11,1646.43
個人差A,個人差A+,31,Cult Invitation,164,1804,連皿・トリル,SCRATCH,1579.68,1659.63
個人差A,個人差A+,29,Don't believe the hype,210,1666,HCN・連皿,SCRATCH,1526.49,1634.65
個人差A,個人差S,26,Level One,173,1857,連皿・皿複合・CN・乱打,SCRATCH,1594.95,1702.47
個人差A,個人差S,21,Miracle 5ympho X(L),210,1551,BSS・MSS・高速連皿,SCRATCH,1481.56,1695.49
個人差A,個人差A+,29,Purple Perplex,150,1578,CN・BSS・MSS・連皿,SCRATCH,1548.06,1629.53
個人差A,地力A,12,Scripted Connection⇒ A mix(L),151,1749,対称・微縦連・ラス殺し,PEAK,1593.85,1619.23
個人差A,地力S,15,STEEL NEEDLE(L),205,1701,前半難・トリル・軸押し,PEAK,1507.41,1670.35
個人差A,地力A+,30,TECHNOPHOBIA,152,1544,中盤難,PEAK,1642.07,1704.38
個人差A,地力A,29,2 Beasts Unchained,175,1780,連皿,NOTES,1562.04,1629.57
個人差A,地力S+,16,3y3s,191,1871,序盤発狂・皿複合・二重カプセル配置・前半難,PEAK,1584.33,1678.88
個人差A,個人差A+,20,音楽,210-360(245),1487,縦連・ソフラン,SOF-LAN,1637.29,1699.47
個人差A,地力S,20,カジノファイヤーことみちゃん(L),230,1777,CN・BSS・皿絡み,NOTES,,
個人差A,個人差A+,28,バッド・スイーツ、バッド・ドリーム,220,1862,HCN・BSS・皿絡み,SCRATCH,1494.53,1603.33
個人差A,個人差A,11,ピアノ協奏曲第１番”蠍火”,165-185(185),1414,階段・皿・縦連・ラス殺し,SOF-LAN,1541.92,1634.46
地力B+,個人差A,21,ALBA-黎明-(L),165,1990,CN・BSS,CHORD,,
地力B+,地力A,25,ANCHOR,180,1835,乱打・CN,PEAK,1506.00,1580.51
地力B+,個人差A,25,Antigravity,222,1591,HBSS・高速,NOTES,1504.69,1613.74
地力B+,地力B+,25,DEADHEAT,200,1721,皿絡み,NOTES,1523.78,1584.81
地力B+,地力B+,32,Drop Syndicate,180,1861,CN・BSS・連皿・デニム,PEAK,,
地力B+,地力A,28,Empire of Fury,204,1700,皿絡み・軸,NOTES,1518.29,1599.64
地力B+,地力A,22,fallen leaves -IIDX edition-,165,1745,CN,NOTES,1517.84,1579.87
地力B+,地力B+,23,Grand Chariot,191,1775,乱打・皿複合,NOTES,1480.18,1571.40
地力B+,地力B+,29,GRAVITON,185,1762,二重トリル・終盤難,NOTES,1541.49,1590.03
地力B+,個人差A,20,JOMANDA,90-300(195),1918,ソフラン・乱打・終盤難,SOF-LAN,1539.51,1631.21
地力B+,地力A,30,kors k's How to make OTOGE CORE 「LONG」,190,1863,CN・BSS・MSS・短CN,NOTES,1476.10,1569.40
地力B+,地力A,26,Macho Monky,150,1588,リズム難・連皿・ラス殺し,PEAK,1533.33,1606.27
地力B+,地力A,15,NEW GENERATION -もう、お前しか見えない-(L),165,1895,中盤発狂・トリル,PEAK,1514.87,1627.41
地力B+,地力A,25,O/D*20(L),155,1984,CN・皿絡み・物量,NOTES,1558.34,1607.01
地力B+,地力C,10,One More Lovely,200,1452,螺旋・乱打・ラス殺し,PEAK,1510.76,1546.95
地力B+,地力B+,27,ORCA,155,1795,終盤難,NOTES,1512.13,1579.51
地力B+,地力B+,29,PLASMA SOUL NIGHT feat. Nana Takahashi / 709sec.,178,2271,物量・皿複合,CHORD,1510.96,1565.97
地力B+,地力A,31,Resonant,182,1864,HCN・HBSS・ズレ,NOTES,,
地力B+,地力B+,22,Shooting Fireball,160,1983,乱打・縦連,NOTES,1550.75,1580.63
地力B+,個人差A,24,Snakey Kung-fu,156,1751,HCN・乱打,CHARGE,1493.95,1559.75
地力B+,地力B+,23,STARLIGHT DANCEHALL(L),177,1712,連皿・皿絡み・ラス殺し,NOTES,1485.27,1562.84
地力B+,地力B+,23,StrayedCatz,303,1490,階段,PEAK,1489.87,1571.43
地力B+,地力B,20,SYNC-ANTHEM,160-166(160),1865,乱打・ソフラン・長いラス殺し,NOTES,1528.36,1567.59
地力B+,地力B,19,The Limbo,200,1701,乱打・皿複合,NOTES,1493.40,1557.20
地力B+,地力B+,22,TOXIC VIBRATION,197,1933,トリル・階段,NOTES,1491.60,1563.66
地力B+,地力B+,12,Twelfth Style(L),160,1684,乱打・連皿・デニム・対称,PEAK,1503.67,1594.41
地力B+,地力A+,26,Unbelief,135,1675,乱打・ズレ・CN,CHARGE,1522.82,1612.24
地力B+,地力B+,26,Visterhv,191,1869,乱打・終盤難,NOTES,1508.39,1559.36
地力B+,地力B+,31,Xb10r,200,1833,CN・MSS,NOTES,1478.74,1551.97
地力B+,地力B+,19,YAKSHA,190,2000,繰り返し乱打・軸,NOTES,1539.76,1596.70
地力B+,地力A,20,キャトられ恋はモ～モク,196,1988,乱打・軸・皿複合,NOTES,1511.55,1592.87
地力B+,地力A,31,今宵、ロマンス横丁。,168,1714,CN・BSS・二重階段,NOTES,1541.82,1597.79
地力B+,地力B+,30,ぞうしょく！？マイデンティティ,200,1851,CN・繰り返し乱打,NOTES,1515.79,1578.50
地力B+,地力B+,26,抱きしめてモナムール,190,2110,乱打・軸・二重階段,NOTES,1503.19,1570.55
地力B+,地力A,24,津軽雪,160,1953,縦連・局所難,PEAK,1509.55,1574.61
地力B+,地力A+,25,東京神話,196,1505,局所発狂,PEAK,1524.96,1619.84
地力B+,地力B+,20,†渚の小悪魔ラヴリィ～レイディオ†(IIDX EDIT),190,1835,乱打・同時押し・軸押し・皿複合,NOTES,1507.99,1580.50
地力B+,個人差A,21,海神(L),159,1830,CN・BSS,CHARGE,,
個人差B+,個人差A+,11,Be quiet(L),150,1463,連皿,SCRATCH,1517.85,1641.89
個人差B+,地力A,25,Boomy and The Boost,174,1826,複合・ラス殺し,CHORD,1535.49,1593.82
個人差B+,個人差A+,23,DIAMOND CROSSING,180,1585,HCN,CHARGE,1483.20,1578.92
個人差B+,個人差A+,29,GiGaGaHell,250,1687,縦連・連皿・トリル,PEAK,1522.26,1664.40
個人差B+,地力A,20,Hollywood Galaxy,186,1392,CN・階段・二重階段,CHARGE,1504.07,1581.49
個人差B+,個人差A,27,Inferno of Fomalhaut,150,1701,CN・高速二重トリル・連皿,PEAK,1519.68,1629.55
個人差B+,個人差B+,16,Marie Antoinette(L),205-248(215),1618,ソフラン・同時・階段・皿複合,CHORD,1594.18,1627.80
個人差B+,個人差A,30,Peaktime Booster,180,1663,連皿,SCRATCH,1399.71,1558.93
個人差B+,個人差A+,19,Snake Stick,145,1447,連皿・皿複合,SCRATCH,1398.85,1548.96
個人差B+,地力A,20,STULTI,90-182(182),1416,ソフラン・トリル特化,PEAK,1553.45,1614.70
個人差B+,個人差A,23,199024club -Re:BounceKiller-,143,1260,連皿・終盤難,SCRATCH,1370.80,1518.96
個人差B+,個人差A,31,"灼熱Beach Side Bunny (かめりあ's ""Summertime D'n'B"" Remix)",174,1647,連皿・連打,SCRATCH,1447.27,1586.58
個人差B+,個人差A,28,水鏡の異界,168,1661,CN・連皿,CHARGE,1501.39,1589.86
地力B,地力B,19,A MINSTREL～ver.short-scape～(L),114,1954,CN・同時押し,CHORD,,
地力B,地力B,25,AA -rebuild-,174,1820,乱打・局所発狂・デニム,NOTES,1478.61,1535.71
地力B,地力B,29,Angel's Ladder,155,1800,乱打・縦連,NOTES,1422.51,1517.98
地力B,地力B+,29,Arkadia,180,1873,皿複合・トリル,NOTES,1462.62,1547.39
地力B,地力B+,28,ASIAN VIRTUAL REALITIES (MELTING TOGETHER IN DAZZLING DARKNESS),150,1752,CN,NOTES,1431.54,1538.90
地力B,地力B,30,BIGWAVERS,177,1796,CN・BSS・トリル,CHORD,1473.34,1547.57
