ノマゲ帯,ハード帯,ver,曲名,BPM,ノーツ数,譜面傾向,属性,CR基準
地力A,地力A,23,Battle Train -IIDX Edition-,160,1687,高密度・乱打・高速トリル・皿複合,NOTES,地力A
地力A,地力A,15,Be OK(L),160,1679,階段・皿絡み,NOTES,地力C
地力A,地力A,17,bloomin' feeling,181,1313,高難度・CN・乱打,NOTES,地力B
地力A,地力B,27,Bow shock!!,165,1566,隣接階段・同時押し,NOTES,地力B
地力A,地力A,30,C-C-C-N-N-N,162-180(162),1434,連皿・ソフラン,CHORD,地力A
地力A,地力B,19,Castle on the Moon,191,1231,高密度・ラス殺し,NOTES,地力B
地力A,地力B,23,chaos eater -IIDX edition-,210,1328,軸・同時押し,PEAK,地力B
地力A,地力B,28,Crazy Jackpot,170,1447,トリル・二重階段,NOTES,地力B
地力A,地力S,21,Critical Crystal,191,1495,CN・連皿・対称・軸・詐称,PEAK,地力S
地力A,個人差A,28,Dawn Saga,185,1378,HCN,CHARGE,地力B
地力A,地力A,25,Eine Haube ～聖地の果てにあるもの～,170,1321,中盤発狂・階段,PEAK,地力B
地力A,地力B,29,Ergosphere,170,1391,CN,CHARGE,地力B
地力A,個人差C,11,FAKE TIME(H),200,916,高速トリル・二重階段・ラス殺し,PEAK,地力S
地力A,地力B,25,FREEDOM,150,1481,皿複合・終盤難,CHORD,地力B
地力A,地力A,29,Game Changers,105-210(105),1395,ソフラン,SCRATCH,地力A
地力A,地力B,27,GHOST,150-180(180),1403,開幕加速ソフラン,PEAK,地力A
地力A,地力A,19,GIGANT(L),140,1484,CN,CHARGE,地力A
地力A,地力B,8,Giudecca,155,1381,乱打・皿・局所難・ラス殺し,PEAK,地力C
地力A,地力A,24,HAPPY★RUSH,185,1490,階段・皿複合・縦連,NOTES,地力A
地力A,地力S,25,HYPE THE CORE,190,1539,詐称曲・皿絡み・HARD核地雷,NOTES,地力S
地力A,地力B,21,I will be back -オレは帰ってきた-,172,1492,BSS・高密度,NOTES,地力A
地力A,地力B,15,in the Sky,180,1279,同時・ラス殺し,CHORD,地力B
地力A,地力A,28,Jungle Eater,184,1517,皿複合・二重トリル,NOTES,地力C
地力A,地力A,25,MAXIVCORD,154,1256,乱打・ラス殺し,NOTES,地力B
地力A,地力A,20,New Decade IIDX Edition,200,1539,高密度・高速,NOTES,地力A
地力A,地力C,26,"Next Tales 2 Oath (IIDX 20th Anniv ""Ring"" Theme)",180,1387,乱打・トリル・ラス殺し,PEAK,地力A
地力A,地力A,26,Night! Night! Night!,165,1540,乱打・皿複合,NOTES,地力B
地力A,地力B,26,Playing With Fire,160,1200,皿複合・CN,NOTES,地力B
地力A,地力A,12,Pollinosis,145,1278,トリル・皿複合・同時・前半難・全押し,CHORD,地力A
地力A,地力A,12,POODLE(L),160,1707,CN,NOTES,地力C
地力A,地力A,26,ROCK女 feat. 大山愛未， Ken,150,1436,ハネリズム・皿複合・CN,CHARGE,地力B
地力A,地力S,s,RUGGED ASH(L),168,1058,ズレ・皿絡み・高密度・HARD地雷,NOTES,地力B
地力A,未定,31,Speculation,190,1530,CN・BSS・MSS・同時押し・二重トリル・二重階段,CHORD,未定
地力A,地力A,19,Star Trail(L),148,1325,CN・BSS,CHARGE,未定
地力A,地力B,7,stoic,155,1302,縦連・乱打・中盤難,NOTES,地力A
地力A,地力A,29,Tail Lights,156,1589,24分トリル,NOTES,地力A
地力A,地力B,18,THE FALLEN,167,1377,同時・トリル・皿複合,CHORD,地力A
地力A,地力B,15,Time to Air,191,1458,同時・皿複合・軸・ラス殺し,CHORD,地力A
地力A,地力A,13,tripping contact(teranoid&MC Natsack Remix),187,1258,軸・終盤難,PEAK,地力A
地力A,地力S,25,UMMU,180,1587,乱打・CN・BSS・連皿・全体難,NOTES,地力A
地力A,地力B,21,Unicorn tail,170,1605,局所難・ラス殺し,PEAK,地力B
地力A,地力B,13,waxing and wanding,191,1457,前半難・同時押し・軸押し・中盤発狂・ラス殺し,PEAK,地力B
地力A,地力A,26,Wolf 1061,173,1584,乱打・CN・高密度,CHARGE,地力B
地力A,地力B,26,XENON II ～TOMOYUKIの野望～,160,1523,CN・乱打,NOTES,地力C
地力A,地力A,16,"You'll say ""Now!""",155,1276,高密度・軸・皿絡み・ラス殺し・詐称曲,NOTES,地力A
地力A,地力B,19,24th Century BOY,168,1456,階段・デニム,PEAK,地力C
地力A,地力S,30,3V0,191,1530,前半難・皿絡み・トリル・CN,NOTES,地力A
地力A,地力A,19,532nm,177,1349,高密度・乱打・トリル,NOTES,地力B
地力A,地力A,29,青の洞窟,175,1600,トリル,PEAK,地力A
地力A,地力A,26,& Intelligence,160,1623,乱打・皿複合・連皿・CN・全体難,NOTES,地力A
地力A,地力A,29,《GRANDMASTER》,160,1504,CN・BSS・高密度,NOTES,地力C
地力A,地力A,18,旅人リラン,155,1345,縦連・同時押し・中盤発狂,PEAK,地力A
地力A,個人差A,22,もっと！モット！ときめき feat. 松下,185,1424,階段・微CN・皿絡み・局所難・HARD地雷,NOTES,地力A
個人差A,個人差A,23,Acid Pumper,150,1267,HCN・BSS・連皿・ラス殺し・難地雷,CHARGE,地力B
個人差A,個人差A,20,Beastie Starter,190,1121,トリル・軸・HARD地雷,PEAK,地力S
個人差A,個人差A,18,Bounce Bounce Bounce,116,1293,縦連・連皿,SCRATCH,地力A
個人差A,個人差S,30,DIAMOND JACKAL,115-230(115),1313,軸・連皿・同時押し・局所難,PEAK,地力S
個人差A,個人差A,15,Do it!! Do it!!,300,987,トリル・軸・皿・高難度,PEAK,地力S
個人差A,個人差S,17,Hydrogen Blueback(L),143,1241,連皿・皿複合,SCRATCH,地力A
個人差A,個人差S,26,IDC feat.REVERBEE (Mo'Cuts Ver),140,1145,連皿,SCRATCH,地力B
個人差A,個人差S,16,Just a Little Smile,136,1272,連皿・皿絡み・ラス殺し,SCRATCH,地力A
個人差A,個人差S+,24,SAMURAI-Scramble,150,1232,連皿,SCRATCH,地力A
個人差A,個人差A,19,蛇神,170,1438,CN・トリル・後半難,PEAK,地力A
個人差A,個人差C,24,ディッシュウォッシャー◎彡おいわちゃん,210,1280,ラス殺し,CHORD,地力S
個人差A,地力S+,16,卑弥呼(H),82-185(185),1442,ソフラン・階段・縦連・HARD地雷,SOF-LAN,地力S
地力B,地力B,28,ABSOLUTE (kors k Remix),160,1336,CN,CHARGE,地力C
地力B,地力B,27,Advent Infamous,150,1454,HCN・BSS,NOTES,地力C
地力B,地力B,18,Aegis,162,1202,CN,NOTES,地力A
地力B,地力B,26,Afterimage d'automne,232,1480,CN・ハネリズム・同時押し・階段・皿絡み,NOTES,地力B
地力B,地力B,11,AGEHA(L),180,1232,CN・皿複合,CHORD,地力D
地力B,個人差C,17,AIR RAID FROM THA UNDAGROUND,180,1189,軸・トリル・ラス殺し,NOTES,地力B
地力B,地力C,11,ANDROMEDA,150,1446,トリル・ラス殺し,NOTES,地力C
地力B,地力C,18,ANTHEM LANDING,151,1484,乱打・軸・ラス殺し,NOTES,地力C
地力B,地力B,22,Beyond The Earth,140,1646,皿複合・高密度,CHORD,地力C
地力B,地力D,8,Blame,155,980,縦連・ラス殺し,PEAK,地力E
地力B,個人差S,21,BRAINSTORM,180,1449,乱打・連皿・HARD地雷,NOTES,地力A
地力B,地力B,24,BroGamer,207,1568,同時押し・皿複合・ラス殺し,CHORD,地力A
地力B,地力B,16,CaptivAte2～覚醒～,175,1221,ラス殺し,PEAK,地力B
地力B,地力S,22,Chrono Diver -PENDULUMs-(H),196,1422,同時・階段・中盤発狂,PEAK,地力A
地力B,地力B,22,Chronos(L),128,1538,物量・CN,CHORD,地力D
地力B,地力B,20,Cookie Bouquets,205,1714,要体力,CHORD,地力D
地力B,地力A,26,COSMIC CYBER,170,1469,高密度・乱打・皿絡み,NOTES,地力B
地力B,地力C,10,Debtty Daddy,155,1371,同時押し・皿複合・ラス殺し,PEAK,地力C
地力B,地力B,17,DESIRE,175,1446,乱打・終盤難,PEAK,地力C
地力B,地力B,21,diagram,112,1461,二重階段・連皿,PEAK,地力C
地力B,未定,12,EDEN(L),200,1637,高密度・同時・皿・軸押し・終盤殺し,CHORD,地力B
地力B,地力C,17,Evans(H),185,1121,軸・ラス殺し,PEAK,地力S
地力B,個人差A,30,EXODUS SIGN,150,1366,MSS・BSS・CN・連皿・皿複合,SCRATCH,地力A
地力B,地力B,16,Flash Back 90's(L),155,1470,皿絡み・ラス殺し,PEAK,地力C
地力B,地力B,20,FLOWER,173,1460,CN・BSS・二重階段,PEAK,地力A
地力B,個人差A,21,Funny shuffle,115,1199,連皿・ズレ同時・HARD地雷,PEAK,地力A
地力B,個人差A,6,G2,170,1188,軸・微縦連・トリル・後半難,NOTES,地力B
地力B,地力B,17,GALGALIM,165,1208,皿複合,NOTES,地力C
地力B,地力B,13,Ganymede,72-82(82),1199,低速・軸押し・階段・高密度,PEAK,地力A
地力B,地力B,26,Garuda,160,1323,縦連打,NOTES,地力C
地力B,未定,31,GloriosA,175,1437,CN・BSS・MSS・皿絡み,NOTES,未定
地力B,地力B,23,GOBBLE,160,866,縦連・高密度,PEAK,地力B
地力B,個人差S,18,Golden Palms(L),130,1240,HCN・BSS・HARD地雷,CHARGE,地力B
地力B,地力B,3,Holic,155,880,乱打・同時・微縦連・ラス殺し,PEAK,地力C
地力B,地力B,19,I'm so Happy,181,1187,トリル・ラス殺し,NOTES,地力B
地力B,地力A,20,Illegal Function Call,260,1398,縦連・トリル・階段・高速,NOTES,地力A
地力B,個人差A,19,In the Blackest Den,177,1372,階段・連皿・詐称,NOTES,地力C
地力B,地力A,23,Journey(L),112,1585,物量・同時押し,CHORD,地力B
地力B,地力B,16,Kung-fu Empire,177,1657,階段・要体力,NOTES,地力C
地力B,個人差B,26,LADYBIRD,230,1258,ハネリズム・皿複合,NOTES,地力A
地力B,地力B,28,LAST DAY,157,1551,乱打,NOTES,地力D
地力B,地力A,18,Let The Track Flow,175,1367,トリル・中盤発狂,NOTES,地力B
地力B,地力B,20,Light and Cyber…,181,1579,階段,NOTES,地力C
地力B,地力B,28,Lovely Howdy Cowboy!!,180,1405,CN・皿絡み,NOTES,地力C
地力B,個人差A,21,m1dy Deluxe,205,1342,連皿・軸・高速・HARD地雷,PEAK,地力A
地力B,地力B,21,MAGIC & LOVE,185,1481,高密度,NOTES,地力C
地力B,地力B,24,Modular Technology,170,1372,乱打・連皿,NOTES,地力B
地力B,地力B,30,Move UR Body,175,1327,CN・BSS,NOTES,地力B
地力B,地力B,27,Moving on,153,1501,乱打,NOTES,地力C
地力B,地力C,28,Neo Heritage,150,1454,乱打・皿複合,NOTES,地力C
地力B,地力C,18,Never Fade Away,170,1535,乱打・対称,NOTES,地力C
地力B,個人差A,24,nostos,86-144(128),1359,ソフラン・階段・縦連・ズレ,SOF-LAN,地力A
地力B,個人差A,28,of the first magnitude,157,1503,HCN,CHARGE,地力D
地力B,地力A,23,On the FM,200,1419,軸・同時・縦連・前半難・HARD地雷,NOTES,地力A
地力B,地力B,28,OTOKOZAKA,160,1485,局所難・トリル,PEAK,地力B
地力B,地力B,23,Outbreak,195,1523,高密度,CHORD,地力C
地力B,地力B,28,Overslept,170,1300,終盤難,NOTES,地力B
地力B,個人差B,30,Perfect Plan,150,1328,CN・ズレ・皿絡み,CHARGE,地力D
地力B,地力B,27,PHASE SHIFT MANEUVER,163,1447,CN・トリル,NOTES,地力D
地力B,地力A,28,POLKAMANIA,160,1507,CN・皿絡み,NOTES,地力C
地力B,地力C,17,Programmed Sun,144,1309,CN・乱打・後半難,PEAK,地力C
地力B,地力C,10,rainbow rainbow,177,1377,同時押し・トリル・階段・対称,NOTES,地力C
地力B,地力B,30,Red Soul,180,1494,二重階段・連皿,SCRATCH,地力B
地力B,地力B,25,REVOLVER,160,1405,乱打・皿複合・階段,NOTES,地力B
地力B,地力B,28,Ritual of Anubis,190,1422,皿複合,NOTES,地力C
地力B,地力B,28,Rosa azuL,155,1417,乱打・皿絡み,NOTES,地力C
地力B,個人差A,27,rough percussionythm,175,1295,CN・連皿,SCRATCH,地力B
地力B,個人差A,23,Routing,144,1323,連皿・微階段・HARD地雷,SCRATCH,地力B
地力B,地力B,28,Rubrum Piano,160,1253,二重乱打,NOTES,地力C
地力B,地力B,20,rumrum triplets,192,1541,階段・乱打,NOTES,地力C
地力B,地力B,20,S!ck,177,1373,トリル・皿・CN・BSS,PEAK,地力B
地力B,地力A,24,Sarutobi Champion is 拙者,130-195(130),1153,ソフラン・皿絡み・階段,PEAK,地力S
地力B,地力B,20,Saturn,155,1332,縦連・ラス殺し,NOTES,地力C
地力B,地力B,22,Scars of FAUNA,165,1475,CN,CHARGE,地力D
地力B,地力S,21,SCHWARZSCHILD FIELD,150,1232,中盤発狂・HARD地雷,PEAK,地力A
地力B,地力C,16,Secrets,150,1592,皿複合・ラス殺し,NOTES,地力D
地力B,地力B,17,Session 1 -Genesis-,79-178(79),1240,CN・ソフラン・階段,PEAK,地力C
地力B,地力C,19,SHADE,151,1464,初見殺し・乱打・カプセル押し・終盤難,CHORD,地力E
地力B,地力B,14,smile,189,1464,階段・皿絡み・中盤難・1P正規地雷,CHORD,地力B
地力B,個人差A,7,Spica,128,1167,階段・縦連同時・中盤発狂・HARD地雷・詐称曲,PEAK,地力A
地力B,地力C,23,STARLIGHT DANCEHALL,177,1342,連皿・皿複合,CHORD,地力B
地力B,地力B,18,STELLAR WIND,162,1370,トリル・ラス殺し・EX-HARD地雷,NOTES,地力B
地力B,地力C,13,Sun Field,152,1234,同時押し・階段・皿絡み・ラス殺し,NOTES,地力D
地力B,地力A,28,Swarm Of Scarabs,110,1212,CN・BSS,SCRATCH,地力C
地力B,地力C,15,switch,152,1069,二重階段・局所難・ラス殺し,PEAK,地力C
地力B,地力A,18,THE BLACK KNIGHT,154,1488,CN・中盤発狂・HARD地雷,CHARGE,地力B
地力B,地力B,25,THE CANNONBALLER,170,1748,要体力・軸・階段,NOTES,地力B
地力B,地力B,15,THE DEEP STRIKER,173,1528,同時押し・微縦連・全体難,CHORD,地力B
地力B,地力B,13,The Dirty of Loudness,165,1327,同時押し・全押し・乱打・対称・終盤難,PEAK,地力B
地力B,地力B,15,the trigger of innocence(L),150,1558,同時押し,CHORD,地力E
地力B,地力B,19,TITANS RETURN,194,1275,高密度,NOTES,地力A
地力B,地力B,26,UNDERWORLD HOLOGRAPHY,187,1648,体力,NOTES,地力B
地力B,個人差A,25,Usual Days-remix,139,1364,トリル・皿,NOTES,地力B
地力B,地力A,20,VALLIS-NERIA,185,1507,CN・高密度・微縦連・HARD地雷,CHARGE,地力B
地力B,地力B,20,VEGA,191,1584,BSS・高密度,NOTES,地力B
地力B,地力B,23,Welcome,170,1357,連皿・軸押し・皿複合・HARD地雷,CHORD,地力B
地力B,地力A,18,WISE UP!(L),127,1320,同時押し,CHORD,地力E
地力B,個人差A,28,Zenith,164,1128,CN・ズレ,CHARGE,地力C
地力B,地力A,18,ZETA～素数の世界と超越者～,90-180(180),1583,高密度・階段・同時・ソフラン・後半難,NOTES,地力A
地力B,地力A,10,1st Samurai,175-200(175),1383,皿複合・前半難・ソフラン,NOTES,地力A
地力B,未定,31,20XX,180,1370,高密度,NOTES,未定
地力B,地力B,23,朝焼けから始まるボクらの小さな旅,100-218(218),1298,高速・トリル・階段・ラス殺し,PEAK,地力B
地力B,地力B,29,ウツシミウツシ,175,1595,トリル・物量,NOTES,地力C
地力B,個人差A,26,X-DEN(H),200,1418,トリル・連皿・中盤難,PEAK,地力A
地力B,地力B,24,禍根,170,1336,階段,NOTES,地力B
地力B,個人差B,30,響花水月,180,1487,同時押し・皿絡み・三重階段,NOTES,地力D
地力B,地力B,29,シル・ヴ・プレジデント(L),176,1299,同時押し・皿複合・局所発狂,NOTES,地力D
地力B,地力B,20,創世ノート,200,1512,乱打・高密度,NOTES,地力B
地力B,地力B,29,月とミルク,190,1400,同時押し,NOTES,地力B
地力B,地力B,21,デッドボヲルdeホームラン,145,1417,ズレ押し・皿複合,NOTES,地力B
地力B,地力B,22,Ｘ↑Ｘ↓,172,1485,ラス殺し,CHORD,地力A
地力B,個人差B,22,とろぴかる倶楽部,120,1154,皿複合・後半難,SCRATCH,地力B
地力B,地力C,29,ハイテックトキオ,165,1367,MSS,NOTES,地力B
地力B,地力B,28,儚き恋の華,162,1515,皿複合,NOTES,地力D
地力B,地力B,19,ユミル,164,1434,階段・皿複合・後半難,CHORD,地力B
地力B,地力C,20,龍と少女とデコヒーレンス,165,1515,乱打・高密度,NOTES,地力C
地力B,地力B,23,量子の海のリントヴルム,280,1508,階段・CN・縦連,NOTES,地力B
個人差B,個人差B,17,Almagest(H),178,1146,階段・BSS・CN＋階段,CHARGE,地力A
個人差B,個人差A,26,Psycho Sheep Riddim(L),150,1150,CN・BSS・MSS,CHARGE,地力A
個人差B,個人差D,9,SWEETEST SAVAGE,114,930,皿複合,SCRATCH,地力C
個人差B,個人差B,16,THE SHINING POLARIS(kors k mix),172,1645,乱打・皿絡み,NOTES,地力B
個人差B,個人差B,31,TRIP THE DEEP,135,1289,連皿,SCRATCH,未定
個人差B,個人差A,21,VOX UP(H),202,1473,高速トリル・連皿・前半難・ラス殺し・HARD地雷,PEAK,地力S
個人差B,地力B,30,ZEИITH,190,1531,皿複合・微縦連・鍵盤全押し,NOTES,地力C
個人差B,超個人差,12,100％ minimoo-G,252,903,縦連特化・高速トリル・ラス殺し,PEAK,地力A
個人差B,個人差A,29,10000 MILES AWAY,178,1494,CN・BSS,CHARGE,地力B
地力C,個人差B,25,Abraxas,165,1241,CN・連皿・トリル・乱打,PEAK,地力C
地力C,地力B,4,ABSOLUTE(L),60-144(144),1412,HCN・乱打,CHARGE,地力D
地力C,地力C,16,ALL MY TURN -このターンに、オレの全てを賭ける-,170,1314,階段・対称,PEAK,地力B
地力C,地力C,24,Amazing Mirage,153,1343,乱打・皿絡み・連皿・縦連打,NOTES,地力B
地力C,地力D,23,Angelic Jelly,200,1419,二重トリル,PEAK,地力A
地力C,地力D,24,Around The Galaxy,145,1714,乱打・軸,NOTES,地力C
地力C,地力B,24,AsiaN distractive,132-157(157),1337,乱打・二重階段・ラスト減速,CHORD,地力D
地力C,地力C,23,Aublia,156,1299,CN・階段・螺旋階段,NOTES,地力C
地力C,地力C,24,BabeL ～Grand Story～,163,1432,CN・皿絡み・対称,CHORD,地力E
地力C,個人差B,25,Back Spin Sweeper,155,1156,HBSS・乱打,PEAK,地力B
地力C,地力C,29,Banger Banger Banger Banger,190,1497,皿絡み,NOTES,地力D
地力C,地力C,25,Battleground,165,1361,乱打・終盤難,PEAK,地力D
地力C,地力B,25,Be a Hero!,190,1592,皿複合・階段・トリル,NOTES,地力C
地力C,個人差A,24,Beat Juggling Mix,66-198(105),1138,ソフラン・連皿,SCRATCH,地力B
地力C,地力D,15,Blue Rain,144,1149,乱打,PEAK,地力E
地力C,未定,18,BLUST OF WIND(L),145,1335,CN・ズレ・デニム・ラス殺し,CHORD,未定
地力C,地力D,24,BREAK OVER,106-150(150),1210,ソフラン・皿複合・ラス殺し,PEAK,地力B
地力C,地力D,13,Broadbanded,140,1019,トリル・軸・ラス殺し,PEAK,地力C
地力C,地力B,6,Buffalo(L),108,1287,皿複合,NOTES,地力E
地力C,地力B,25,ChaserXX,140,1453,乱打・皿絡み・高速トリル・ズレ,NOTES,地力D
地力C,地力B,22,CHRONO DIVER -NORNIR-,185,1568,要体力,NOTES,地力C
地力C,地力D,22,Chronos,128,1205,CN,CHARGE,地力D
地力C,地力C,25,City Never Sleeps (IIDX Edition),178,1344,CN・階段,CHORD,地力E
地力C,地力C,21,Cleopatrysm,190,1326,高密度,PEAK,地力C
地力C,地力C,26,CODE:0,125,1454,皿絡み,SCRATCH,地力C
地力C,地力C,13,CONTRACT,180,1056,螺旋階段・同時・トリル,NOTES,地力B
地力C,地力D,23,Derelict Star feat. Ryu*,150,1336,CN・乱打・トリル・皿絡み,CHORD,地力C
地力C,地力C,21,Devilz Sacrifice -贖罪の羊-,175,1265,階段・CN,NOTES,地力D
地力C,地力C,22,Discloze,128-145(145),1365,ソフラン・CN・BSS,CHORD,地力D
地力C,地力B,29,Divine Heaven,150,1503,CN・BSS・二重トリル,CHORD,地力C
地力C,地力C,29,DREAM OF SPACE UFO ABDUCTION,140,1371,乱打・二重トリル・全押し,NOTES,地力D
地力C,地力B,17,DROP,152,1337,トリル,PEAK,地力C
地力C,地力C,24,Egret and Willow,196,1383,皿絡み,CHORD,地力D
地力C,地力A,25,EMERALDAS(H),88-176(176),1258,HCN・BSS・ソフラン・トリル・連皿,NOTES,地力A
地力C,地力D,18,Energy Drive,170,1122,CN・BSS,CHARGE,地力F
地力C,地力C,25,Fervidex,191,1361,微発狂,CHORD,地力C
地力C,地力C,29,FINALLY BLAZE,185,1424,CN,NOTES,地力E
